Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Ottawa Senators,1,45:50:00,0,1,0,0,0,0,56.29,77.24,42.16,45.82,58.91,43.75,31.42,41.89,42.86,3.93,5.24,42.86,2.2,4.44,33.09,18.33,34.04,35,9.16,19.64,31.82,3.93,5.24,42.86,42.86,73.33,7.85,15.71,33.33,5.24,9.16,36.36,3.93,5.24,42.86,75,42.86,10.47,18.33,36.36,3.93,10.47,27.27,0,0,,0,100,28.8,40.58,41.51,19.64,20.95,48.39,0,0,,0,100,12.5,87.5,1,10/2/2019
Toronto Maple Leafs,1,45:50:00,1,0,0,1,2,1,77.24,56.29,57.84,58.91,45.82,56.25,41.89,31.42,57.14,5.24,3.93,57.14,4.44,2.2,66.91,34.04,18.33,65,19.64,9.16,68.18,5.24,3.93,57.14,26.67,57.14,15.71,7.85,66.67,9.16,5.24,63.64,5.24,3.93,57.14,57.14,25,18.33,10.47,63.64,10.47,3.93,72.73,0,0,,0,100,40.58,28.8,58.49,20.95,19.64,51.61,0,0,,0,100,12.5,87.5,1,10/2/2019
Washington Capitals,1,53:43:00,1,0,0,1,2,1,49.15,31.28,61.11,41.33,25.69,61.67,31.28,18.99,62.22,2.23,1.12,66.67,2.21,1.31,62.81,24.57,13.4,64.71,16.75,10.05,62.5,2.23,1.12,66.67,13.33,88.89,5.58,5.58,50,5.58,5.58,50,0,1.12,0,0,80,18.99,7.82,70.83,11.17,4.47,71.43,2.23,0,100,20,100,22.34,15.64,58.82,13.4,7.82,63.16,0,0,,0,100,7.14,94.12,1.013,10/2/2019
St Louis Blues,1,53:43:00,0,0,1,0,1,0.5,31.28,49.15,38.89,25.69,41.33,38.33,18.99,31.28,37.78,1.12,2.23,33.33,1.31,2.21,37.19,13.4,24.57,35.29,10.05,16.75,37.5,1.12,2.23,33.33,11.11,86.67,5.58,5.58,50,5.58,5.58,50,1.12,0,100,20,100,7.82,18.99,29.17,4.47,11.17,28.57,0,2.23,0,0,80,15.64,22.34,41.18,7.82,13.4,36.84,0,0,,0,100,5.88,92.86,0.987,10/2/2019
Vancouver Canucks,1,48:00:00,0,1,0,0,0,0,73.75,43.75,62.77,52.5,30,63.64,32.5,23.75,57.78,2.5,3.75,40,2.17,1.72,55.66,33.75,20,62.79,10,12.5,44.44,1.25,3.75,25,12.5,70,11.25,6.25,64.29,5,6.25,44.44,1.25,2.5,33.33,25,60,22.5,13.75,62.07,5,6.25,44.44,0,1.25,0,0,80,35,18.75,65.12,18.75,8.75,68.18,1.25,0,100,6.67,100,7.69,84.21,0.919,10/2/2019
Edmonton Oilers,1,48:00:00,1,0,0,1,2,1,43.75,73.75,37.23,30,52.5,36.36,23.75,32.5,42.22,3.75,2.5,60,1.72,2.17,44.34,20,33.75,37.21,12.5,10,55.56,3.75,1.25,75,30,87.5,6.25,11.25,35.71,6.25,5,55.56,2.5,1.25,66.67,40,75,13.75,22.5,37.93,6.25,5,55.56,1.25,0,100,20,100,18.75,35,34.88,8.75,18.75,31.82,0,1.25,0,0,93.33,15.79,92.31,1.081,10/2/2019
San Jose Sharks,1,48:33:00,0,1,0,0,0,0,42.02,61.79,40.48,29.66,49.43,37.5,19.77,32.13,38.1,1.24,2.47,33.33,1.33,3.67,26.58,8.65,32.13,21.21,2.47,21.01,10.53,0,2.47,0,0,88.24,4.94,16.07,23.53,2.47,11.12,18.18,0,1.24,0,0,88.89,3.71,16.07,18.75,0,9.89,0,0,1.24,0,,87.5,30.9,25.95,54.35,14.83,11.12,57.14,1.24,0,100,8.33,100,6.25,92.31,0.986,10/2/2019
Vegas Golden Knights,1,48:33:00,1,0,0,1,2,1,61.79,42.02,59.52,49.43,29.66,62.5,32.13,19.77,61.9,2.47,1.24,66.67,3.67,1.33,73.42,32.13,8.65,78.79,21.01,2.47,89.47,2.47,0,100,11.76,100,16.07,4.94,76.47,11.12,2.47,81.82,1.24,0,100,11.11,100,16.07,3.71,81.25,9.89,0,100,1.24,0,100,12.5,,25.95,30.9,45.65,11.12,14.83,42.86,0,1.24,0,0,91.67,7.69,93.75,1.014,10/2/2019
Florida Panthers,1,49:00:00,0,1,0,0,0,0,56.33,51.43,52.27,44.08,33.06,57.14,35.51,26.94,56.86,1.22,4.9,20,1.56,2.19,41.69,20.82,22.04,48.57,15.92,13.47,54.17,1.22,2.45,33.33,7.69,81.82,8.57,11.02,43.75,7.35,6.12,54.55,1.22,1.22,50,16.67,80,12.24,11.02,52.63,8.57,7.35,53.85,0,1.22,0,0,83.33,33.06,25.71,56.25,18.37,11.02,62.5,0,1.22,0,0,88.89,3.45,81.82,0.853,10/3/2019
Tampa Bay Lightning,1,49:00:00,1,0,0,1,2,1,51.43,56.33,47.73,33.06,44.08,42.86,26.94,35.51,43.14,4.9,1.22,80,2.19,1.56,58.31,22.04,20.82,51.43,13.47,15.92,45.83,2.45,1.22,66.67,18.18,92.31,11.02,8.57,56.25,6.12,7.35,45.45,1.22,1.22,50,20,83.33,11.02,12.24,47.37,7.35,8.57,46.15,1.22,0,100,16.67,100,25.71,33.06,43.75,11.02,18.37,37.5,1.22,0,100,11.11,100,18.18,96.55,1.147,10/3/2019
