,Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
0,Toronto Maple Leafs,1,39:08,1,0,0,1,2,1.0,56.73,58.26,49.33,36.8,36.8,50.0,26.06,27.6,48.57,7.67,3.07,71.43,2.11,2.39,46.86,30.66,24.53,55.56,18.4,16.87,52.17,6.13,3.07,66.67,33.33,81.82,10.73,12.27,46.67,9.2,12.27,42.86,3.07,3.07,50.0,33.33,75.0,19.93,12.27,61.9,9.2,4.6,66.67,3.07,0.0,100.0,33.33,100.0,19.93,24.53,44.83,6.13,9.2,40.0,1.53,0.0,100.00,25.0,100.0,29.41,88.89,1.183,2017-10-04
1,Winnipeg Jets,1,39:08,0,1,0,0,0,0.0,58.26,56.73,50.67,36.8,36.8,50.0,27.6,26.06,51.43,3.07,7.67,28.57,2.39,2.11,53.14,24.53,30.66,44.44,16.87,18.4,47.83,3.07,6.13,33.33,18.18,66.67,12.27,10.73,53.33,12.27,9.2,57.14,3.07,3.07,50.0,25.0,66.67,12.27,19.93,38.1,4.6,9.2,33.33,0.0,3.07,0.0,0.0,66.67,24.53,19.93,55.17,9.2,6.13,60.0,0.0,1.53,0.00,0.0,75.0,11.11,70.59,0.817,2017-10-04
2,St Louis Blues,1,49:34,1,0,0,1,2,1.0,60.52,73.84,45.05,48.42,55.68,46.51,35.1,36.31,49.15,4.84,3.63,57.14,2.92,3.52,45.34,32.68,33.89,49.09,23.0,14.53,61.29,4.84,0.0,100.0,21.05,100.0,13.32,12.1,52.38,10.89,4.84,69.23,1.21,0.0,100.0,11.11,100.0,19.37,21.79,47.06,12.1,9.68,55.56,3.63,0.0,100.0,30.0,100.0,25.42,35.1,42.0,12.1,18.16,40.0,0.0,3.63,0.00,0.0,80.0,13.79,90.0,1.038,2017-10-04
3,Pittsburgh Penguins,1,49:34,0,0,1,0,1,0.5,73.84,60.52,54.95,55.68,48.42,53.49,36.31,35.1,50.85,3.63,4.84,42.86,3.52,2.92,54.66,33.89,32.68,50.91,14.53,23.0,38.71,0.0,4.84,0.0,0.0,78.95,12.1,13.32,47.62,4.84,10.89,30.77,0.0,1.21,0.0,0.0,88.89,21.79,19.37,52.94,9.68,12.1,44.44,0.0,3.63,0.0,0.0,70.0,35.1,25.42,58.0,18.16,12.1,60.0,3.63,0.0,100.00,20.0,100.0,10.0,86.21,0.962,2017-10-04
4,Calgary Flames,1,54:00,0,1,0,0,0,0.0,60.0,81.11,42.52,42.22,65.56,39.18,27.78,46.67,37.31,0.0,3.33,0.0,2.16,5.68,27.51,22.22,33.33,40.0,12.22,22.22,35.48,0.0,3.33,0.0,0.0,85.0,10.0,20.0,33.33,7.78,15.56,33.33,0.0,2.22,0.0,0.0,85.71,12.22,13.33,47.83,4.44,6.67,40.0,0.0,1.11,0.0,0.0,83.33,24.44,41.11,37.29,11.11,24.44,31.25,0.0,0.0,-,0.0,100.0,0.0,92.86,0.929,2017-10-04
5,Edmonton Oilers,1,54:00,1,0,0,1,2,1.0,81.11,60.0,57.48,65.56,42.22,60.82,46.67,27.78,62.69,3.33,0.0,100.0,5.68,2.16,72.49,33.33,22.22,60.0,22.22,12.22,64.52,3.33,0.0,100.0,15.0,100.0,20.0,10.0,66.67,15.56,7.78,66.67,2.22,0.0,100.0,14.29,100.0,13.33,12.22,52.17,6.67,4.44,60.0,1.11,0.0,100.0,16.67,100.0,41.11,24.44,62.71,24.44,11.11,68.75,0.0,0.0,-,0.0,100.0,7.14,100.0,1.071,2017-10-04
6,Philadelphia Flyers,1,47:08,1,0,0,1,2,1.0,58.56,61.1,48.94,40.74,47.1,46.38,26.73,31.82,45.65,2.55,1.27,66.67,3.65,2.92,55.56,35.64,22.91,60.87,17.82,10.18,63.64,2.55,1.27,66.67,14.29,87.5,14.0,11.46,55.0,6.36,5.09,55.56,0.0,1.27,0.0,0.0,75.0,21.64,11.46,65.38,11.46,5.09,69.23,2.55,0.0,100.0,22.22,100.0,19.09,34.37,35.71,8.91,21.64,29.17,0.0,0.0,-,0.0,100.0,9.52,96.0,1.055,2017-10-04
7,San Jose Sharks,1,47:08,0,1,0,0,0,0.0,61.1,58.56,51.06,47.1,40.74,53.62,31.82,26.73,54.35,1.27,2.55,33.33,2.92,3.65,44.44,22.91,35.64,39.13,10.18,17.82,36.36,1.27,2.55,33.33,12.5,85.71,11.46,14.0,45.0,5.09,6.36,44.44,1.27,0.0,100.0,25.0,100.0,11.46,21.64,34.62,5.09,11.46,30.77,0.0,2.55,0.0,0.0,77.78,34.37,19.09,64.29,21.64,8.91,70.83,0.0,0.0,-,0.0,100.0,4.0,90.48,0.945,2017-10-04
8,Nashville Predators,1,41:30,0,1,0,0,0,0.0,36.14,53.49,40.32,31.81,44.82,41.51,23.13,28.92,44.44,1.45,2.89,33.33,1.58,2.22,41.65,15.9,21.69,42.31,10.12,11.57,46.67,1.45,2.89,33.33,14.29,75.0,4.34,10.12,30.0,2.89,5.78,33.33,0.0,1.45,0.00,0.0,75.0,11.57,11.57,50.0,7.23,5.78,55.56,1.45,1.45,50.00,20.0,75.0,15.9,28.92,35.48,11.57,15.9,42.11,0.0,0.0,-,0.0,100.0,6.25,90.0,0.963,2017-10-05
9,Boston Bruins,1,41:30,1,0,0,1,2,1.0,53.49,36.14,59.68,44.82,31.81,58.49,28.92,23.13,55.56,2.89,1.45,66.67,2.22,1.58,58.35,21.69,15.9,57.69,11.57,10.12,53.33,2.89,1.45,66.67,25.0,85.71,10.12,4.34,70.0,5.78,2.89,66.67,1.45,0.0,100.00,25.0,100.0,11.57,11.57,50.0,5.78,7.23,44.44,1.45,1.45,50.00,25.0,80.0,28.92,15.9,64.52,15.9,11.57,57.89,0.0,0.0,-,0.0,100.0,10.0,93.75,1.038,2017-10-05
10,Montreal Canadiens,1,48:17,1,0,0,0,2,1.0,54.68,57.16,48.89,42.25,52.19,44.74,36.04,43.49,45.31,1.24,1.24,50.0,2.44,2.6,48.38,22.37,24.85,47.37,16.15,17.4,48.15,0.0,0.0,-,0.0,100.0,12.43,9.94,55.56,11.18,8.7,56.25,0.0,0.0,-,0.0,100.0,9.94,14.91,40.0,4.97,8.7,36.36,0.0,0.0,-,0.0,100.0,26.1,32.31,44.68,18.64,26.1,41.67,1.24,1.24,50.00,6.67,95.24,3.45,97.14,1.006,2017-10-05
11,Buffalo Sabres,1,48:17,0,0,1,0,1,0.5,57.16,54.68,51.11,52.19,42.25,55.26,43.49,36.04,54.69,1.24,1.24,50.0,2.6,2.44,51.62,24.85,22.37,52.63,17.4,16.15,51.85,0.0,0.0,-,0.0,100.0,9.94,12.43,44.44,8.7,11.18,43.75,0.0,0.0,-,0.0,100.0,14.91,9.94,60.0,8.7,4.97,63.64,0.0,0.0,-,0.0,100.0,32.31,26.1,55.32,26.1,18.64,58.33,1.24,1.24,50.00,4.76,93.33,2.86,96.55,0.994,2017-10-05
12,Colorado Avalanche,1,43:09,1,0,0,1,2,1.0,47.28,58.4,44.74,36.15,41.71,46.43,26.42,27.81,48.72,4.17,0.0,100.0,3.07,2.75,52.76,29.2,33.37,46.67,16.69,18.08,48.0,2.78,0.0,100.00,16.67,100.0,13.9,15.3,47.62,9.73,9.73,50.0,1.39,0.0,100.00,14.29,100.0,15.3,18.08,45.83,6.95,8.34,45.45,1.39,0.0,100.00,20.0,100.0,12.51,19.47,39.13,6.95,8.34,45.45,0.0,0.0,-,0.0,100.0,15.79,100.0,1.158,2017-10-05
13,New York Rangers,1,43:09,0,1,0,0,0,0.0,58.4,47.28,55.26,41.71,36.15,53.57,27.81,26.42,51.28,0.0,4.17,0.0,2.75,3.07,47.24,33.37,29.2,53.33,18.08,16.69,52.0,0.0,2.78,0.00,0.0,83.33,15.3,13.9,52.38,9.73,9.73,50.0,0.0,1.39,0.00,0.0,85.71,18.08,15.3,54.17,8.34,6.95,54.55,0.0,1.39,0.00,0.0,80.0,19.47,12.51,60.87,8.34,6.95,54.55,0.0,0.0,-,0.0,100.0,0.0,84.21,0.842,2017-10-05
14,Washington Capitals,1,53:00,1,0,0,0,2,1.0,61.13,47.55,56.25,40.75,35.09,53.73,26.04,26.04,50.0,4.53,4.53,50.0,1.9,1.66,53.49,28.3,22.64,55.56,12.45,13.58,47.83,4.53,3.4,57.14,36.36,75.0,7.92,6.79,53.85,4.53,3.4,57.14,0.0,1.13,0.00,0.0,66.67,20.38,15.85,56.25,7.92,10.19,43.75,4.53,2.26,66.67,57.14,77.78,24.91,24.91,50.0,11.32,12.45,47.62,0.0,1.13,0.00,0.0,90.91,17.39,82.61,1.0,2017-10-05
15,Ottawa Senators,1,53:00,0,0,1,0,1,0.5,47.55,61.13,43.75,35.09,40.75,46.27,26.04,26.04,50.0,4.53,4.53,50.0,1.66,1.9,46.51,22.64,28.3,44.44,13.58,12.45,52.17,3.4,4.53,42.86,25.0,63.64,6.79,7.92,46.15,3.4,4.53,42.86,1.13,0.0,100.00,33.33,100.0,15.85,20.38,43.75,10.19,7.92,56.25,2.26,4.53,33.33,22.22,42.86,24.91,24.91,50.0,12.45,11.32,52.38,1.13,0.0,100.00,9.09,100.0,17.39,82.61,1.0,2017-10-05
16,Minnesota Wild,1,47:49,0,1,0,0,0,0.0,58.98,48.94,54.65,46.43,41.41,52.86,38.9,28.86,57.41,2.51,2.51,50.0,3.05,2.04,59.87,31.37,22.59,58.14,20.08,12.55,61.54,2.51,2.51,50.00,12.5,80.0,16.31,10.04,61.9,15.06,6.27,70.59,1.25,0.0,100.00,8.33,100.0,15.06,12.55,54.55,5.02,6.27,44.44,1.25,2.51,33.33,25.0,60.0,25.1,22.59,52.63,17.57,13.8,56.0,0.0,0.0,-,0.0,100.0,6.45,91.3,0.978,2017-10-05
17,Detroit Red Wings,1,47:49,1,0,0,1,2,1.0,48.94,58.98,45.35,41.41,46.43,47.14,28.86,38.9,42.59,2.51,2.51,50.0,2.04,3.05,40.13,22.59,31.37,41.86,12.55,20.08,38.46,2.51,2.51,50.00,20.0,87.5,10.04,16.31,38.1,6.27,15.06,29.41,0.0,1.25,0.00,0.0,91.67,12.55,15.06,45.45,6.27,5.02,55.56,2.51,1.25,66.67,40.0,75.0,22.59,25.1,47.37,13.8,17.57,44.0,0.0,0.0,-,0.0,100.0,8.7,93.55,1.022,2017-10-05
18,Pittsburgh Penguins,1,47:31,0,1,0,0,0,0.0,54.3,82.08,39.81,39.14,56.82,40.79,30.31,50.51,37.5,0.0,12.63,0.0,2.01,3.95,33.72,20.2,35.36,36.36,15.15,27.78,35.29,0.0,11.36,0.00,0.0,59.09,10.1,15.15,40.0,8.84,15.15,36.84,0.0,6.31,0.00,0.0,58.33,10.1,20.2,33.33,6.31,12.63,33.33,0.0,5.05,0.00,0.0,60.0,29.04,41.67,41.07,13.89,21.47,39.29,0.0,1.26,0.00,0.0,94.12,0.0,75.0,0.75,2017-10-05
19,Chicago Blackhawks,1,47:31,1,0,0,1,2,1.0,82.08,54.3,60.19,56.82,39.14,59.21,50.51,30.31,62.5,12.63,0.0,100.0,3.95,2.01,66.28,35.36,20.2,63.64,27.78,15.15,64.71,11.36,0.0,100.00,40.91,100.0,15.15,10.1,60.0,15.15,8.84,63.16,6.31,0.0,100.00,41.67,100.0,20.2,10.1,66.67,12.63,6.31,66.67,5.05,0.0,100.00,40.0,100.0,41.67,29.04,58.93,21.47,13.89,60.71,1.26,0.0,100.00,5.88,100.0,25.0,100.0,1.25,2017-10-05
20,Arizona Coyotes,1,47:21,0,1,0,0,0,0.0,59.56,62.09,48.96,40.55,53.22,43.24,26.61,39.28,40.38,2.53,6.34,28.57,2.54,3.44,42.49,36.75,34.21,51.79,20.27,22.81,47.06,2.53,6.34,28.57,12.5,72.22,13.94,11.4,55.0,8.87,10.14,46.67,2.53,2.53,50.00,28.57,75.0,22.81,22.81,50.0,11.4,12.67,47.37,0.0,3.8,0.00,0.0,70.0,19.01,24.08,44.12,5.07,15.21,25.0,0.0,0.0,-,0.0,100.0,9.52,83.87,0.934,2017-10-05
21,Anaheim Ducks,1,47:21,1,0,0,1,2,1.0,62.09,59.56,51.04,53.22,40.55,56.76,39.28,26.61,59.62,6.34,2.53,71.43,3.44,2.54,57.51,34.21,36.75,48.21,22.81,20.27,52.94,6.34,2.53,71.43,27.78,87.5,11.4,13.94,45.0,10.14,8.87,53.33,2.53,2.53,50.00,25.0,71.43,22.81,22.81,50.0,12.67,11.4,52.63,3.8,0.0,100.00,30.0,100.0,24.08,19.01,55.88,15.21,5.07,75.0,0.0,0.0,-,0.0,100.0,16.13,90.48,1.066,2017-10-05
22,Philadelphia Flyers,1,41:34,0,1,0,0,0,0.0,60.63,57.74,51.22,49.08,46.19,51.52,34.64,27.43,55.81,0.0,2.89,0.0,2.93,3.23,47.55,37.53,31.76,54.17,18.77,20.21,48.15,0.0,2.89,0.00,0.0,85.71,12.99,15.88,45.0,11.55,10.1,53.33,0.0,2.89,0.00,0.0,71.43,24.54,15.88,60.71,7.22,10.1,41.67,0.0,0.0,-,0.0,100.0,18.77,21.65,46.43,12.99,7.22,64.29,0.0,0.0,-,0.0,100.0,0.0,89.47,0.895,2017-10-05
23,Los Angeles Kings,1,41:34,1,0,0,1,2,1.0,57.74,60.63,48.78,46.19,49.08,48.48,27.43,34.64,44.19,2.89,0.0,100.0,3.23,2.93,52.45,31.76,37.53,45.83,20.21,18.77,51.85,2.89,0.0,100.00,14.29,100.0,15.88,12.99,55.0,10.1,11.55,46.67,2.89,0.0,100.00,28.57,100.0,15.88,24.54,39.29,10.1,7.22,58.33,0.0,0.0,-,0.0,100.0,21.65,18.77,53.57,7.22,12.99,35.71,0.0,0.0,-,0.0,100.0,10.53,100.0,1.105,2017-10-05
24,New York Islanders,1,55:39,0,1,0,0,0,0.0,62.53,64.69,49.15,43.13,49.6,46.51,28.03,34.5,44.83,0.0,4.31,0.0,2.4,3.03,44.19,26.95,25.88,51.02,11.86,15.09,44.0,0.0,3.23,0.0,0.0,78.57,10.78,9.7,52.63,8.63,7.55,53.33,0.0,2.16,0.00,0.0,71.43,16.17,16.17,50.0,3.23,7.55,30.0,0.0,1.08,0.0,0.0,85.71,35.58,33.42,51.56,16.17,16.17,50.0,0.0,1.08,0.00,0.0,93.33,0.0,87.5,0.875,2017-10-06
25,Columbus Blue Jackets,1,55:39,1,0,0,1,2,1.0,64.69,62.53,50.85,49.6,43.13,53.49,34.5,28.03,55.17,4.31,0.0,100.0,3.03,2.4,55.81,25.88,26.95,48.98,15.09,11.86,56.0,3.23,0.0,100.0,21.43,100.0,9.7,10.78,47.37,7.55,8.63,46.67,2.16,0.0,100.00,28.57,100.0,16.17,16.17,50.0,7.55,3.23,70.0,1.08,0.0,100.0,14.29,100.0,33.42,35.58,48.44,16.17,16.17,50.0,1.08,0.0,100.00,6.67,100.0,12.5,100.0,1.125,2017-10-06
26,Florida Panthers,1,46:41,0,1,0,0,0,0.0,70.69,43.7,61.8,55.27,32.13,63.24,38.56,25.71,60.0,3.86,5.14,42.86,3.12,3.28,48.78,35.99,15.42,70.0,26.99,12.85,67.74,3.86,5.14,42.86,14.29,60.0,17.99,5.14,77.78,16.71,5.14,76.47,3.86,2.57,60.00,23.08,50.0,17.99,10.28,63.64,10.28,7.71,57.14,0.0,2.57,0.0,0.0,66.67,32.13,24.42,56.82,10.28,10.28,50.0,0.0,0.0,-,0.0,100.0,10.0,80.0,0.9,2017-10-06
27,Tampa Bay Lightning,1,46:41,1,0,0,1,2,1.0,43.7,70.69,38.2,32.13,55.27,36.76,25.71,38.56,40.0,5.14,3.86,57.14,3.28,3.12,51.22,15.42,35.99,30.0,12.85,26.99,32.26,5.14,3.86,57.14,40.0,85.71,5.14,17.99,22.22,5.14,16.71,23.53,2.57,3.86,40.00,50.0,76.92,10.28,17.99,36.36,7.71,10.28,42.86,2.57,0.0,100.0,33.33,100.0,24.42,32.13,43.18,10.28,10.28,50.0,0.0,0.0,-,0.0,100.0,20.0,90.0,1.1,2017-10-06
