,Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDSH%,LDSV%,SH%,SV%,PDO,Date
0,Pittsburgh Penguins,1,56:00:00,1,0,0,1,2,1.0,61.07,55.71,52.29,50.36,40.71,55.29,37.5,28.93,56.45,6.43,2.14,4.33,1.87,69.86,37.5,24.64,60.34,25.71,12.86,66.67,3.21,2.14,12.5,83.33,12.86,7.5,63.16,10.71,6.43,62.5,2.14,1.07,24.64,17.14,58.97,15.0,6.43,70.0,1.07,1.07,19.29,26.79,41.86,9.64,12.86,42.86,1.07,0.0,11.11,100.0,17.14,92.59,1.097,2021-10-12
1,Tampa Bay Lightning,1,56:00:00,0,1,0,0,0,0.0,55.71,61.07,47.71,40.71,50.36,44.71,28.93,37.5,43.55,2.14,6.43,1.87,4.33,30.14,24.64,37.5,39.66,12.86,25.71,33.33,2.14,3.21,16.67,87.5,7.5,12.86,36.84,6.43,10.71,37.5,1.07,2.14,17.14,24.64,41.03,6.43,15.0,30.0,1.07,1.07,26.79,19.29,58.14,12.86,9.64,57.14,0.0,1.07,0.0,88.89,7.41,82.86,0.903,2021-10-12
2,Seattle Kraken,1,48:00:00,0,1,0,0,0,0.0,70.0,57.5,54.9,51.25,43.75,53.95,35.0,27.5,56.0,3.75,5.0,2.82,3.07,47.81,31.25,26.25,54.35,17.5,12.5,58.33,2.5,5.0,14.29,60.0,15.0,10.0,60.0,7.5,8.75,46.15,2.5,3.75,16.25,16.25,50.0,10.0,3.75,72.73,0.0,1.25,33.75,27.5,55.1,17.5,15.0,53.85,1.25,0.0,7.14,100.0,10.71,81.82,0.925,2021-10-12
3,Vegas Golden Knights,1,48:00:00,1,0,0,1,2,1.0,57.5,70.0,45.1,43.75,51.25,46.05,27.5,35.0,44.0,5.0,3.75,3.07,2.82,52.19,26.25,31.25,45.65,12.5,17.5,41.67,5.0,2.5,40.0,85.71,10.0,15.0,40.0,8.75,7.5,53.85,3.75,2.5,16.25,16.25,50.0,3.75,10.0,27.27,1.25,0.0,27.5,33.75,44.9,15.0,17.5,46.15,0.0,1.25,0.0,92.86,18.18,89.29,1.075,2021-10-12
4,Montreal Canadiens,1,47:58:00,0,1,0,0,0,0.0,52.54,67.55,43.75,38.78,53.79,41.89,31.27,30.02,51.02,1.25,1.25,2.2,3.51,38.46,27.52,43.78,38.6,21.26,21.26,50.0,1.25,1.25,5.88,94.12,8.76,18.76,31.82,7.51,12.51,37.5,1.25,0.0,18.76,25.02,42.86,13.76,8.76,61.11,0.0,1.25,16.26,21.26,43.33,8.76,7.51,53.85,0.0,0.0,0.0,100.0,4.0,95.83,0.998,2021-10-13
5,Toronto Maple Leafs,1,47:58:00,1,0,0,1,2,1.0,67.55,52.54,56.25,53.79,38.78,58.11,30.02,31.27,48.98,1.25,1.25,3.51,2.2,61.54,43.78,27.52,61.4,21.26,21.26,50.0,1.25,1.25,5.88,94.12,18.76,8.76,68.18,12.51,7.51,62.5,0.0,1.25,25.02,18.76,57.14,8.76,13.76,38.89,1.25,0.0,21.26,16.26,56.67,7.51,8.76,46.15,0.0,0.0,0.0,100.0,4.17,96.0,1.002,2021-10-13
6,New York Rangers,1,46:48:00,0,1,0,0,0,0.0,44.87,43.59,50.72,29.49,34.62,46.0,19.23,21.79,46.88,0.0,1.28,1.82,1.54,54.06,21.79,26.92,44.74,11.54,12.82,47.37,0.0,1.28,0.0,90.0,2.56,3.85,40.0,1.28,2.56,33.33,0.0,0.0,19.23,23.08,45.45,10.26,10.26,50.0,0.0,1.28,19.23,10.26,65.22,7.69,5.13,60.0,0.0,0.0,0.0,100.0,0.0,94.12,0.941,2021-10-13
7,Washington Capitals,1,46:48:00,1,0,0,1,2,1.0,43.59,44.87,49.28,34.62,29.49,54.0,21.79,19.23,53.13,1.28,0.0,1.54,1.82,45.94,26.92,21.79,55.26,12.82,11.54,52.63,1.28,0.0,10.0,100.0,3.85,2.56,60.0,2.56,1.28,66.67,0.0,0.0,23.08,19.23,54.55,10.26,10.26,50.0,1.28,0.0,10.26,19.23,34.78,5.13,7.69,40.0,0.0,0.0,0.0,100.0,5.88,100.0,1.059,2021-10-13
8,Chicago Blackhawks,1,48:43:00,0,1,0,0,0,0.0,56.65,72.67,43.81,39.41,50.5,43.84,32.02,35.72,47.27,1.23,4.93,1.66,3.24,33.87,22.17,46.8,32.14,11.08,22.17,33.33,1.23,3.69,11.11,83.33,6.16,14.78,29.41,4.93,8.62,36.36,0.0,3.69,16.01,32.02,33.33,6.16,13.55,31.25,1.23,0.0,30.79,22.17,58.14,19.71,13.55,59.26,0.0,1.23,0.0,90.91,3.85,86.21,0.901,2021-10-13
9,Colorado Avalanche,1,48:43:00,1,0,0,1,2,1.0,72.67,56.65,56.19,50.5,39.41,56.16,35.72,32.02,52.73,4.93,1.23,3.24,1.66,66.13,46.8,22.17,67.86,22.17,11.08,66.67,3.69,1.23,16.67,88.89,14.78,6.16,70.59,8.62,4.93,63.64,3.69,0.0,32.02,16.01,66.67,13.55,6.16,68.75,0.0,1.23,22.17,30.79,41.86,13.55,19.71,40.74,1.23,0.0,9.09,100.0,13.79,96.15,1.099,2021-10-13
